{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 240, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 243, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 246, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 249, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 252, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 253, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 255, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 257, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 259, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 260, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 262, 'y_pos': 79}
{'coins': 0, 'flag_get': False, 'life': 2, 'score': 0, 'stage': 1, 'status': 'small', 'time': 396, 'world': 1, 'x_pos': 264, 'y_pos': 79}
